"sseqid","entrezgene_id","function","external_gene_name"
"AT2G25050",817043,"actin-binding FH2 (formin 2) family protein [Source:NCBI gene (formerly Entrezgene);Acc:817043]","AT2G25050"
"AT2G25060",817044,"early nodulin-like protein 14 [Source:NCBI gene (formerly Entrezgene);Acc:817044]","ENODL14"
"AT2G25110",817049,"stromal cell-derived factor 2-like protein [Source:NCBI gene (formerly Entrezgene);Acc:817049]","SDF2"
"AT2G25140",817052,"casein lytic proteinase B4 [Source:NCBI gene (formerly Entrezgene);Acc:817052]","CLPB4"
"AT2G25180",817056,"response regulator 12 [Source:NCBI gene (formerly Entrezgene);Acc:817056]","RR12"
"AT2G25270",817065,"transmembrane protein [Source:NCBI gene (formerly Entrezgene);Acc:817065]","AT2G25270"
"AT2G25290",817067,"Octicosapeptide/Phox/Bem1p (PB1) domain-containing protein / tetratricopeptide repeat (TPR)-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:817067]","Phox1"
"AT2G25310",817069,"ER membrane protein complex subunit-like protein (DUF2012) [Source:NCBI gene (formerly Entrezgene);Acc:817069]","AT2G25310"
"AT2G25320",817070,"TRAF-like family protein [Source:NCBI gene (formerly Entrezgene);Acc:817070]","AT2G25320"
"AT2G25430",817081,"epsin N-terminal homology (ENTH) domain-containing protein / clathrin assembly protein-like protein [Source:NCBI gene (formerly Entrezgene);Acc:817081]","AT2G25430"
"AT2G25490",817087,"EIN3-binding F box protein 1 [Source:NCBI gene (formerly Entrezgene);Acc:817087]","EBF1"
"AT2G25520",817090,"Drug/metabolite transporter superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:817090]","AT2G25520"
"AT2G25530",817091,"AFG1-like ATPase family protein [Source:NCBI gene (formerly Entrezgene);Acc:817091]","AT2G25530"
"AT2G25570",817096,"binding protein [Source:NCBI gene (formerly Entrezgene);Acc:817096]","AT2G25570"
"AT2G25580",817097,"Tetratricopeptide repeat (TPR)-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:817097]","MEF8"
"AT2G25605",817100,"DNA-directed RNA polymerase subunit beta [Source:NCBI gene (formerly Entrezgene);Acc:817100]","AT2G25605"
"AT2G25620",817102,"DNA-binding protein phosphatase 1 [Source:NCBI gene (formerly Entrezgene);Acc:817102]","DBP1"
"AT2G25625",817103,"histone deacetylase-like protein [Source:NCBI gene (formerly Entrezgene);Acc:817103]","AT2G25625"
"AT2G25660",817107,"embryo defective 2410 [Source:NCBI gene (formerly Entrezgene);Acc:817107]","emb2410"
"AT2G25680",817109,"molybdate transporter 1 [Source:NCBI gene (formerly Entrezgene);Acc:817109]","MOT1"
"AT2G25690",817110,"DUF581 family protein, putative (DUF581) [Source:NCBI gene (formerly Entrezgene);Acc:817110]","AT2G25690"
"AT2G25730",817114,"zinc finger FYVE domain protein [Source:NCBI gene (formerly Entrezgene);Acc:817114]","AT2G25730"
"AT2G25737",817116,"Sulfite exporter TauE/SafE family protein [Source:NCBI gene (formerly Entrezgene);Acc:817116]","AT2G25737"
"AT2G25740",817117,"ATP-dependent protease La (LON) domain protein [Source:NCBI gene (formerly Entrezgene);Acc:817117]","AT2G25740"
"AT2G25760",817118,"Protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:817118]","AT2G25760"
"AT2G25770",817119,"Polyketide cyclase/dehydrase and lipid transport superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:817119]","AT2G25770"
"AT2G25790",817121,"Leucine-rich receptor-like protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:817121]","AT2G25790"
"AT2G25800",817122,"elongation factor Ts (DUF810) [Source:NCBI gene (formerly Entrezgene);Acc:817122]","AT2G25800"
"AT2G25810",817123,"tonoplast intrinsic protein 4;1 [Source:NCBI gene (formerly Entrezgene);Acc:817123]","TIP4;1"
"AT2G25830",817125,"YebC-like protein [Source:NCBI gene (formerly Entrezgene);Acc:817125]","AT2G25830"
"AT2G25840",817126,"Nucleotidylyl transferase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:817126]","OVA4"
"AT2G25870",817128,"haloacid dehalogenase-like hydrolase family protein [Source:NCBI gene (formerly Entrezgene);Acc:817128]","AT2G25870"
"AT2G25880",817129,"ataurora2 [Source:NCBI gene (formerly Entrezgene);Acc:817129]","AUR2"
"AT2G25890",817130,"Oleosin family protein [Source:NCBI gene (formerly Entrezgene);Acc:817130]","AT2G25890"
"AT2G25910",817132,"3'-5' exonuclease domain-containing protein / K homology domain-containing protein / KH domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:817132]","AT2G25910"
"AT2G25930",817134,"hydroxyproline-rich glycoprotein family protein [Source:NCBI gene (formerly Entrezgene);Acc:817134]","ELF3"
"AT2G25970",817137,"KH domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:817137]","AT2G25970"
"AT2G26040",817145,"PYR1-like 2 [Source:NCBI gene (formerly Entrezgene);Acc:817145]","PYL2"
"AT2G26070",817148,"protein REVERSION-TO-ETHYLENE SENSITIVITY-like protein (DUF778) [Source:NCBI gene (formerly Entrezgene);Acc:817148]","RTE1"
"AT2G26080",817149,"glycine decarboxylase P-protein 2 [Source:NCBI gene (formerly Entrezgene);Acc:817149]","GLDP2"
"AT2G26100",817150,"Galactosyltransferase family protein [Source:NCBI gene (formerly Entrezgene);Acc:817150]","AT2G26100"
"AT2G26110",817151,"bromodomain protein (DUF761) [Source:NCBI gene (formerly Entrezgene);Acc:817151]","AT2G26110"
"AT2G26140",817154,"FTSH protease 4 [Source:NCBI gene (formerly Entrezgene);Acc:817154]","ftsh4"
"AT2G26150",817155,"heat shock transcription factor A2 [Source:NCBI gene (formerly Entrezgene);Acc:817155]","HSFA2"
"AT2G26170",817157,"cytochrome P450, family 711, subfamily A, polypeptide 1 [Source:NCBI gene (formerly Entrezgene);Acc:817157]","CYP711A1"
"AT2G26180",817158,"IQ-domain 6 [Source:NCBI gene (formerly Entrezgene);Acc:817158]","IQD6"
"AT2G26190",817159,"calmodulin-binding family protein [Source:NCBI gene (formerly Entrezgene);Acc:817159]","AT2G26190"
"AT2G26210",817161,"Ankyrin repeat family protein [Source:NCBI gene (formerly Entrezgene);Acc:817161]","AT2G26210"
"AT2G26250",817165,"3-ketoacyl-CoA synthase 10 [Source:NCBI gene (formerly Entrezgene);Acc:817165]","KCS10"
"AT2G26270",817167,"BRCT domain DNA repair protein [Source:NCBI gene (formerly Entrezgene);Acc:817167]","AT2G26270"
"AT2G26280",817168,"CTC-interacting domain 7 [Source:NCBI gene (formerly Entrezgene);Acc:817168]","CID7"
"AT2G26290",817169,"root-specific kinase 1 [Source:NCBI gene (formerly Entrezgene);Acc:817169]","ARSK1"
"AT2G26300",817170,"G protein alpha subunit 1 [Source:NCBI gene (formerly Entrezgene);Acc:817170]","GP ALPHA 1"
"AT2G26310",817171,"Chalcone-flavanone isomerase family protein [Source:NCBI gene (formerly Entrezgene);Acc:817171]","FAP2"
"AT2G26350",817175,"peroxin 10 [Source:NCBI gene (formerly Entrezgene);Acc:817175]","PEX10"
"AT2G26440",817184,"Plant invertase/pectin methylesterase inhibitor superfamily [Source:NCBI gene (formerly Entrezgene);Acc:817184]","AT2G26440"
"AT2G26460",817187,"RED family protein [Source:NCBI gene (formerly Entrezgene);Acc:817187]","SMU2"
"AT2G26580",817199,"plant-specific transcription factor YABBY family protein [Source:NCBI gene (formerly Entrezgene);Acc:817199]","YAB5"
"AT2G26590",817200,"regulatory particle non-ATPase 13 [Source:NCBI gene (formerly Entrezgene);Acc:817200]","RPN13"
"AT2G26600",817201,"Glycosyl hydrolase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:817201]","AT2G26600"
"AT2G26640",817205,"3-ketoacyl-CoA synthase 11 [Source:NCBI gene (formerly Entrezgene);Acc:817205]","KCS11"
"AT2G26650",817206,"K+ transporter 1 [Source:NCBI gene (formerly Entrezgene);Acc:817206]","KT1"
"AT2G26660",817207,"SPX domain-containing protein 2 (SPX2) [Source:NCBI gene (formerly Entrezgene);Acc:817207]","SPX2"
"AT2G26670",817208,"Plant heme oxygenase (decyclizing) family protein [Source:NCBI gene (formerly Entrezgene);Acc:817208]","TED4"
"AT2G26680",817209,"FkbM family methyltransferase [Source:NCBI gene (formerly Entrezgene);Acc:817209]","AT2G26680"
"AT2G26690",817210,"Major facilitator superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:817210]","AT2G26690"
"AT2G26700",817211,"AGC (cAMP-dependent, cGMP-dependent and protein kinase C) kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:817211]","PID2"
"AT2G26710",817212,"Cytochrome P450 superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:817212]","BAS1"
"AT2G26730",817214,"Leucine-rich repeat protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:817214]","AT2G26730"
"AT2G26770",817218,"plectin-like protein [Source:NCBI gene (formerly Entrezgene);Acc:817218]","SCAB1"
"AT2G26800",817221,"Aldolase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:817221]","AT2G26800"
"AT2G26830",817224,"Protein kinase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:817224]","emb1187"
"AT2G26840",817225,"MutS2 [Source:NCBI gene (formerly Entrezgene);Acc:817225]","AT2G26840"
"AT2G26850",817226,"F-box family protein [Source:NCBI gene (formerly Entrezgene);Acc:817226]","AT2G26850"
"AT2G26890",817230,"DNAJ heat shock N-terminal domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:817230]","GRV2"
"AT2G26900",817231,"Sodium Bile acid symporter family [Source:NCBI gene (formerly Entrezgene);Acc:817231]","BASS2"
"AT2G26910",817232,"pleiotropic drug resistance 4 [Source:NCBI gene (formerly Entrezgene);Acc:817232]","ABCG32"
"AT2G26970",817238,"Polynucleotidyl transferase, ribonuclease H-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:817238]","AT2G26970"
"AT2G26975",817239,"Ctr copper transporter family [Source:NCBI gene (formerly Entrezgene);Acc:817239]","COPT6"
"AT2G26980",817240,"CBL-interacting protein kinase 3 [Source:NCBI gene (formerly Entrezgene);Acc:817240]","CIPK3"
"AT2G26990",817241,"proteasome family protein [Source:NCBI gene (formerly Entrezgene);Acc:817241]","FUS12"
"AT2G27020",817244,"20S proteasome alpha subunit G1 [Source:NCBI gene (formerly Entrezgene);Acc:817244]","PAG1"
"AT2G27040",817246,"Argonaute family protein [Source:NCBI gene (formerly Entrezgene);Acc:817246]","AGO4"
"AT2G27080",817250,"Late embryosis abundant (LEA) hydroxyproline-rich glycoprotein family [Source:NCBI gene (formerly Entrezgene);Acc:817250]","AT2G27080"
"AT2G27090",817251,"bZIP transcription factor (DUF630 and DUF632) [Source:NCBI gene (formerly Entrezgene);Acc:817251]","AT2G27090"
"AT2G27110",817253,"FAR1-related sequence 3 [Source:NCBI gene (formerly Entrezgene);Acc:817253]","FRS3"
"AT2G27210",817263,"BRI1 suppressor 1 (BSU1)-like 3 [Source:NCBI gene (formerly Entrezgene);Acc:817263]","BSL3"
"AT2G27230",817265,"transcription factor-like protein [Source:NCBI gene (formerly Entrezgene);Acc:817265]","LHW"
"AT2G27350",817278,"OTU-like cysteine protease family protein [Source:NCBI gene (formerly Entrezgene);Acc:817278]","OTLD1"
"AT2G27430",817288,"ARM repeat superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:817288]","AT2G27430"
"AT2G27460",817291,"sec23/sec24 transport family protein [Source:NCBI gene (formerly Entrezgene);Acc:817291]","AT2G27460"
"AT2G27510",817297,"ferredoxin 3 [Source:NCBI gene (formerly Entrezgene);Acc:817297]","FD3"
"AT2G27550",817302,"centroradiali [Source:NCBI gene (formerly Entrezgene);Acc:817302]","ATC"
"AT2G27600",817306,"AAA-type ATPase family protein [Source:NCBI gene (formerly Entrezgene);Acc:817306]","SKD1"
"AT2G27610",817307,"Tetratricopeptide repeat (TPR)-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:817307]","AT2G27610"
"AT2G27690",817315,"cytochrome P450, family 94, subfamily C, polypeptide 1 [Source:NCBI gene (formerly Entrezgene);Acc:817315]","CYP94C1"
"AT2G27730",817319,"copper ion binding protein [Source:NCBI gene (formerly Entrezgene);Acc:817319]","AT2G27730"
"AT2G27770",817323,"DUF868 family protein (DUF868) [Source:NCBI gene (formerly Entrezgene);Acc:817323]","AT2G27770"
"AT2G27790",817326,"RNA-binding (RRM/RBD/RNP motifs) family protein [Source:NCBI gene (formerly Entrezgene);Acc:817326]","AT2G27790"
"AT2G27830",817330,"","AT2G27830"
"AT2G27900",817335,"coiled-coil protein [Source:NCBI gene (formerly Entrezgene);Acc:817335]","AT2G27900"
"AT2G27920",817336,"serine carboxypeptidase-like 51 [Source:NCBI gene (formerly Entrezgene);Acc:817336]","SCPL51"
"AT2G27930",817337,"PLATZ transcription factor family protein [Source:NCBI gene (formerly Entrezgene);Acc:817337]","AT2G27930"
"AT2G27970",817341,"CDK-subunit 2 [Source:NCBI gene (formerly Entrezgene);Acc:817341]","CKS2"
"AT2G28000",817344,"chaperonin-60alpha [Source:NCBI gene (formerly Entrezgene);Acc:817344]","CPN60A"
"AT2G28070",817351,"ABC-2 type transporter family protein [Source:NCBI gene (formerly Entrezgene);Acc:817351]","ABCG3"
"AT2G28105",817356,"replication factor-A carboxy-terminal domain protein [Source:NCBI gene (formerly Entrezgene);Acc:817356]","AT2G28105"
"AT2G28120",817358,"Major facilitator superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:817358]","AT2G28120"
"AT2G28130",817359,"actin protein 2/3 complex subunit-like protein [Source:NCBI gene (formerly Entrezgene);Acc:817359]","AT2G28130"
"AT2G28160",817362,"FER-like regulator of iron uptake [Source:NCBI gene (formerly Entrezgene);Acc:817362]","FRU"
"AT2G28190",817365,"copper/zinc superoxide dismutase 2 [Source:NCBI gene (formerly Entrezgene);Acc:817365]","CSD2"
"AT2G28200",817366,"C2H2-type zinc finger family protein [Source:NCBI gene (formerly Entrezgene);Acc:817366]","AT2G28200"
"AT2G28210",817367,"alpha carbonic anhydrase 2 [Source:NCBI gene (formerly Entrezgene);Acc:817367]","ACA2"
"AT2G28230",817369,"TATA-binding related factor (TRF) of subunit 20 of Mediator complex [Source:NCBI gene (formerly Entrezgene);Acc:817369]","AT2G28230"
"AT2G28250",817371,"Protein kinase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:817371]","NCRK"
"AT2G28260",817372,"cyclic nucleotide-gated channel 15 [Source:NCBI gene (formerly Entrezgene);Acc:817372]","CNGC15"
"AT2G28270",817373,"Cysteine/Histidine-rich C1 domain family protein [Source:NCBI gene (formerly Entrezgene);Acc:817373]","AT2G28270"
"AT2G28305",817376,"Putative lysine decarboxylase family protein [Source:NCBI gene (formerly Entrezgene);Acc:817376]","LOG1"
"AT2G28315",817378,"Nucleotide/sugar transporter family protein [Source:NCBI gene (formerly Entrezgene);Acc:817378]","AT2G28315"
"AT2G28330",817380,"","AT2G28330"
"AT2G28380",817386,"dsRNA-binding protein 2 [Source:NCBI gene (formerly Entrezgene);Acc:817386]","DRB2"
"AT2G28390",817387,"SAND family protein [Source:NCBI gene (formerly Entrezgene);Acc:817387]","AT2G28390"
"AT2G28410",817389,"transmembrane protein [Source:NCBI gene (formerly Entrezgene);Acc:817389]","AT2G28410"
"AT2G28430",817391,"zinc finger, C3HC4 type family protein [Source:NCBI gene (formerly Entrezgene);Acc:817391]","AT2G28430"
"AT2G28470",817395,"beta-galactosidase 8 [Source:NCBI gene (formerly Entrezgene);Acc:817395]","BGAL8"
"AT2G28480",817396,"RNA-binding CRS1 / YhbY (CRM) domain protein [Source:NCBI gene (formerly Entrezgene);Acc:817396]","AT2G28480"
"AT2G28490",817397,"RmlC-like cupins superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:817397]","AT2G28490"
"AT2G28510",817399,"Dof-type zinc finger DNA-binding family protein [Source:NCBI gene (formerly Entrezgene);Acc:817399]","AT2G28510"
"AT2G28520",817400,"vacuolar proton ATPase A1 [Source:NCBI gene (formerly Entrezgene);Acc:817400]","VHA-A1"
"AT2G28550",817403,"related to AP2.7 [Source:NCBI gene (formerly Entrezgene);Acc:817403]","RAP2.7"
"AT2G28560",817404,"DNA repair (Rad51) family protein [Source:NCBI gene (formerly Entrezgene);Acc:817404]","RAD51B"
"AT2G28690",817418,"TOX high mobility group box protein, putative (DUF1635) [Source:NCBI gene (formerly Entrezgene);Acc:817418]","AT2G28690"
"AT2G28710",817420,"C2H2-type zinc finger family protein [Source:NCBI gene (formerly Entrezgene);Acc:817420]","AT2G28710"
"AT2G28780",817427,"P-hydroxybenzoic acid efflux pump subunit [Source:NCBI gene (formerly Entrezgene);Acc:817427]","AT2G28780"
"AT2G28800",817429,"63 kDa inner membrane family protein [Source:NCBI gene (formerly Entrezgene);Acc:817429]","ALB3"
"AT2G28840",817433,"","XBAT31"
"AT2G28890",817438,"poltergeist like 4 [Source:NCBI gene (formerly Entrezgene);Acc:817438]","PLL4"
"AT2G28930",817442,"protein kinase 1B [Source:NCBI gene (formerly Entrezgene);Acc:817442]","PK1B"
"AT2G28940",817443,"Protein kinase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:817443]","AT2G28940"
"AT2G28950",817444,"expansin A6 [Source:NCBI gene (formerly Entrezgene);Acc:817444]","EXPA6"
"AT2G29050",817453,"RHOMBOID-like 1 [Source:NCBI gene (formerly Entrezgene);Acc:817453]","RBL1"
"AT2G29065",10723125,"GRAS family transcription factor [Source:NCBI gene (formerly Entrezgene);Acc:10723125]","AT2G29065"
"AT2G29090",817457,"cytochrome P450, family 707, subfamily A, polypeptide 2 [Source:NCBI gene (formerly Entrezgene);Acc:817457]","CYP707A2"
"AT2G29110",817459,"glutamate receptor 2.8 [Source:NCBI gene (formerly Entrezgene);Acc:817459]","GLR2.8"
"AT2G29120",817460,"glutamate receptor 2.7 [Source:NCBI gene (formerly Entrezgene);Acc:817460]","GLR2.7"
"AT2G29190",817468,"pumilio 2 [Source:NCBI gene (formerly Entrezgene);Acc:817468]","PUM2"
"AT2G29210",817470,"splicing factor PWI domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:817470]","AT2G29210"
"AT2G29260",817475,"NAD(P)-binding Rossmann-fold superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:817475]","AT2G29260"
"AT2G29410",817490,"metal tolerance protein B1 [Source:NCBI gene (formerly Entrezgene);Acc:817490]","MTPB1"
"AT2G29420",817491,"glutathione S-transferase tau 7 [Source:NCBI gene (formerly Entrezgene);Acc:817491]","GSTU7"
"AT2G29510",817500,"","AT2G29510"
"AT2G29530",817502,"Tim10/DDP family zinc finger protein [Source:NCBI gene (formerly Entrezgene);Acc:817502]","TIM10"
"AT2G29690",817519,"anthranilate synthase 2 [Source:NCBI gene (formerly Entrezgene);Acc:817519]","ASA2"
"AT2G29700",817520,"pleckstrin homologue 1 [Source:NCBI gene (formerly Entrezgene);Acc:817520]","PH1"
"AT2G29760",817526,"Tetratricopeptide repeat (TPR)-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:817526]","OTP81"
"AT2G29890",817539,"villin-like 1 [Source:NCBI gene (formerly Entrezgene);Acc:817539]","VLN1"
"AT2G30010",817552,"TRICHOME BIREFRINGENCE-LIKE 45 [Source:NCBI gene (formerly Entrezgene);Acc:817552]","TBL45"
"AT2G30040",817555,"mitogen-activated protein kinase kinase kinase 14 [Source:NCBI gene (formerly Entrezgene);Acc:817555]","MAPKKK14"
"AT2G30070",817558,"potassium transporter 1 [Source:NCBI gene (formerly Entrezgene);Acc:817558]","KT1"
"AT2G30130",817565,"Lateral organ boundaries (LOB) domain family protein [Source:NCBI gene (formerly Entrezgene);Acc:817565]","ASL5"
"AT2G30140",817566,"UDP-Glycosyltransferase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:817566]","UGT87A2"
"AT2G30210",817571,"laccase 3 [Source:NCBI gene (formerly Entrezgene);Acc:817571]","LAC3"
"AT2G30330",817583,"GCN5L1 family protein [Source:NCBI gene (formerly Entrezgene);Acc:817583]","BLOS1"
"AT2G30340",817584,"LOB domain-containing protein 13 [Source:NCBI gene (formerly Entrezgene);Acc:817584]","LBD13"
"AT2G30350",817585,"Excinuclease ABC, C subunit, N-terminal [Source:NCBI gene (formerly Entrezgene);Acc:817585]","AT2G30350"
"AT2G30360",817586,"SOS3-interacting protein 4 [Source:NCBI gene (formerly Entrezgene);Acc:817586]","SIP4"
"AT2G30480",817598,"","AT2G30480"
"AT2G30490",817599,"cinnamate-4-hydroxylase [Source:NCBI gene (formerly Entrezgene);Acc:817599]","C4H"
"AT2G30520",817601,"Phototropic-responsive NPH3 family protein [Source:NCBI gene (formerly Entrezgene);Acc:817601]","RPT2"
"AT2G30695",817620,"bacterial trigger factor [Source:NCBI gene (formerly Entrezgene);Acc:817620]","AT2G30695"
"AT2G30920",817642,"coenzyme Q 3 [Source:NCBI gene (formerly Entrezgene);Acc:817642]","COQ3"
"AT2G30950",817646,"FtsH extracellular protease family [Source:NCBI gene (formerly Entrezgene);Acc:817646]","VAR2"
"AT2G30970",817648,"aspartate aminotransferase 1 [Source:NCBI gene (formerly Entrezgene);Acc:817648]","ASP1"
"AT2G31010",817652,"Protein kinase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:817652]","AT2G31010"
"AT2G31040",817656,"ATP synthase protein I-like protein [Source:NCBI gene (formerly Entrezgene);Acc:817656]","AT2G31040"
"AT2G31060",817658,"elongation factor family protein [Source:NCBI gene (formerly Entrezgene);Acc:817658]","EMB2785"
"AT2G31130",817669,"","AT2G31130"
"AT2G31170",817673,"Cysteinyl-tRNA synthetase, class Ia family protein [Source:NCBI gene (formerly Entrezgene);Acc:817673]","SYCO ARATH"
"AT2G31180",817674,"myb domain protein 14 [Source:NCBI gene (formerly Entrezgene);Acc:817674]","MYB14"
"AT2G31350",817693,"glyoxalase 2-5 [Source:NCBI gene (formerly Entrezgene);Acc:817693]","GLX2-5"
"AT2G31440",817702,"gamma-secretase subunit APH1-like protein [Source:NCBI gene (formerly Entrezgene);Acc:817702]","AT2G31440"
"AT2G31610",817719,"Ribosomal protein S3 family protein [Source:NCBI gene (formerly Entrezgene);Acc:817719]","AT2G31610"
"AT2G31670",817723,"Stress responsive alpha-beta barrel domain protein [Source:NCBI gene (formerly Entrezgene);Acc:817723]","AT2G31670"
"AT2G31880",817746,"Leucine-rich repeat protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:817746]","SOBIR1"
"AT2G31955",817754,"cofactor of nitrate reductase and xanthine dehydrogenase 2 [Source:NCBI gene (formerly Entrezgene);Acc:817754]","CNX2"
"AT2G32060",817766,"Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein [Source:NCBI gene (formerly Entrezgene);Acc:817766]","AT2G32060"
"AT2G32070",817767,"Polynucleotidyl transferase, ribonuclease H-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:817767]","AT2G32070"
"AT2G32230",817782,"proteinaceous RNase P 1 [Source:NCBI gene (formerly Entrezgene);Acc:817782]","PRORP1"
"AT2G32240",817784,"early endosome antigen [Source:NCBI gene (formerly Entrezgene);Acc:817784]","AT2G32240"
"AT2G32250",817785,"FAR1-related sequence 2 [Source:NCBI gene (formerly Entrezgene);Acc:817785]","FRS2"
"AT2G32260",817786,"phosphorylcholine cytidylyltransferase [Source:NCBI gene (formerly Entrezgene);Acc:817786]","CCT1"
"AT2G32280",817788,"GPI inositol-deacylase C, putative (DUF1218) [Source:NCBI gene (formerly Entrezgene);Acc:817788]","AT2G32280"
"AT2G32290",817789,"beta-amylase 6 [Source:NCBI gene (formerly Entrezgene);Acc:817789]","BAM6"
"AT2G32300",817791,"uclacyanin 1 [Source:NCBI gene (formerly Entrezgene);Acc:817791]","UCC1"
"AT2G32415",817803,"Polynucleotidyl transferase, ribonuclease H fold protein with HRDC domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:817803]","AT2G32415"
"AT2G32480",817809,"chloroplastic membrane metallo proteases [Source:NCBI gene (formerly Entrezgene);Acc:817809]","ARASP"
"AT2G32590",817819,"condensin complex subunit [Source:NCBI gene (formerly Entrezgene);Acc:817819]","EMB2795"
"AT2G32600",817820,"hydroxyproline-rich glycoprotein family protein [Source:NCBI gene (formerly Entrezgene);Acc:817820]","AT2G32600"
"AT2G32640",817824,"Lycopene beta/epsilon cyclase protein [Source:NCBI gene (formerly Entrezgene);Acc:817824]","AT2G32640"
"AT2G32900",817851,"centromere/kinetochore protein, putative (ZW10) [Source:NCBI gene (formerly Entrezgene);Acc:817851]","ATZW10"
"AT2G32950",817857,"Transducin/WD40 repeat-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:817857]","COP1"
"AT2G33460",817911,"ROP-interactive CRIB motif-containing protein 1 [Source:NCBI gene (formerly Entrezgene);Acc:817911]","RIC1"
"AT2G33490",817914,"hydroxyproline-rich glycoprotein family protein [Source:NCBI gene (formerly Entrezgene);Acc:817914]","AT2G33490"
"AT2G33550",817920,"Homeodomain-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:817920]","AT2G33550"
"AT2G33770",817943,"phosphate 2 [Source:NCBI gene (formerly Entrezgene);Acc:817943]","PHO2"
"AT2G33800",817947,"Ribosomal protein S5 family protein [Source:NCBI gene (formerly Entrezgene);Acc:817947]","EMB3113"
"AT2G33830",817950,"Dormancy/auxin associated family protein [Source:NCBI gene (formerly Entrezgene);Acc:817950]","AT2G33830"
"AT2G33840",817952,"Tyrosyl-tRNA synthetase, class Ib, bacterial/mitochondrial [Source:NCBI gene (formerly Entrezgene);Acc:817952]","AT2G33840"
"AT2G33855",817955,"transmembrane protein [Source:NCBI gene (formerly Entrezgene);Acc:817955]","AT2G33855"
"AT2G33860",817956,"Transcriptional factor B3 family protein / auxin-responsive factor AUX/IAA-like protein [Source:NCBI gene (formerly Entrezgene);Acc:817956]","ETT"
"AT2G34040",817965,"Apoptosis inhibitory protein 5 (API5) [Source:NCBI gene (formerly Entrezgene);Acc:817965]","AT2G34040"
"AT2G34050",817966,"ATP synthase F1 complex assembly factor [Source:NCBI gene (formerly Entrezgene);Acc:817966]","AT2G34050"
"AT2G34070",817968,"TRICHOME BIREFRINGENCE-LIKE 37 [Source:NCBI gene (formerly Entrezgene);Acc:817968]","TBL37"
"AT2G34090",817970,"maternal effect embryo arrest 18 [Source:NCBI gene (formerly Entrezgene);Acc:817970]","MEE18"
"AT2G34190",817980,"Xanthine/uracil permease family protein [Source:NCBI gene (formerly Entrezgene);Acc:817980]","AT2G34190"
"AT2G34200",817981,"RING/FYVE/PHD zinc finger superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:817981]","AT2G34200"
"AT2G34357",2745580,"ARM repeat superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:2745580]","AT2G34357"
"AT2G34360",817999,"MATE efflux family protein [Source:NCBI gene (formerly Entrezgene);Acc:817999]","AT2G34360"
"AT2G34400",818003,"Pentatricopeptide repeat (PPR-like) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:818003]","AT2G34400"
"AT2G34410",818004,"O-acetyltransferase family protein [Source:NCBI gene (formerly Entrezgene);Acc:818004]","RWA3"
"AT2G34430",818006,"light-harvesting chlorophyll-protein complex II subunit B1 [Source:NCBI gene (formerly Entrezgene);Acc:818006]","LHB1B1"
"AT2G34440",818007,"AGAMOUS-like 29 [Source:NCBI gene (formerly Entrezgene);Acc:818007]","AGL29"
"AT2G34500",818013,"cytochrome P450, family 710, subfamily A, polypeptide 1 [Source:NCBI gene (formerly Entrezgene);Acc:818013]","CYP710A1"
